trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.06501082912345,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.16862873410706,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.14782869086024,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.84247736418311,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.2929968617454,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.29305613318974,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.62874544726918,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,4,-93.61808438556686,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 1}",1
